Rxn ID,EC Number
rxn02213,4.2.1.10
rxn02476,2.5.1.19
rxn05292,Undetermined
rxn00102,4.2.1.1
rxn05063,4.2.1.104
rxn10132,Undetermined
rxn05565,TC-2.A.3.1
rxn05572,TC-2.A.3.1
rxn07845,4.2.1.40
rxn01280,1.1.1.60
rxn01634,4.2.1.41
rxn01989,4.2.1.40
rxn01990,4.1.2.20
rxn03887,4.2.1.42
rxn00783,4.1.2.21
rxn02173,4.2.1.6
rxn02429,2.7.1.58
rxn10160,Undetermined
rxn01080,5.3.1.12
rxn01122,4.2.1.7
rxn01123,2.7.1.45
rxn01457,5.3.1.12
rxn01775,1.1.1.57
rxn01857,1.1.1.58
rxn03885,4.2.1.8
rxn05574,TC-2.A.1.14
rxn05673,TC-2.A.1.14
rxn05681,Undetermined
rxn01275,2.7.1.12
rxn01277,1.1.1.215
rxn01278,1.1.1.69
rxn01279,1.1.99.3
rxn03953,1.1.1.264
rxn03954,1.1.1.128
rxn05571,Undetermined
rxn10116,Undetermined
rxn10167,Undetermined
rxn00772,2.7.1.15
rxn00777,5.3.1.6
rxn05160,3.A.1.2
rxn05549,Undetermined
rxn05644,TC-3.A.1.2
rxn05648,Undetermined
rxn10184,Undetermined
rxn02314,2.7.1.11
rxn03856,1.1.1.251
rxn05567,Undetermined
rxn00770,2.7.6.1
rxn00790,2.4.2.14
rxn00832,3.5.4.10
rxn02895,6.3.4.13
rxn02937,6.3.3.1
rxn02938,4.1.1.21
rxn03004,2.1.2.2
rxn03084,6.3.5.3
rxn03136,4.3.2.2
rxn03137,2.1.2.3
rxn03147,6.3.2.6
rxn04783,2.1.2.-
rxn05229,Undetermined
rxn00414,6.3.5.5
rxn00710,4.1.1.23
rxn01018,2.1.3.2
rxn01360,1.3.3.1
rxn01362,2.4.2.10
rxn01465,3.5.2.3
rxn08335,1.3.3.1
rxn08336,1.3.3.1
rxn01806,1.7.99.7
rxn11937,1.7.99.6
rxn00778,5.4.2.2
rxn00784,4.1.2.4
rxn01446,2.4.2.1
rxn01859,2.4.2.1
rxn01986,5.4.2.7
rxn01987,2.7.1.15
rxn05198,Undetermined
rxn05199,Undetermined
rxn05200,Undetermined
rxn05205,Undetermined
rxn05316,Undetermined
rxn05317,Undetermined
rxn05318,Undetermined
rxn09685,Undetermined
rxn09687,Undetermined
rxn09688,Undetermined
rxn00609,5.5.1.4
rxn00881,3.1.3.25
rxn00744,2.7.1.29
rxn00745,2.7.1.121
rxn01675,2.7.7.24
rxn01997,4.2.1.46
rxn02000,5.1.3.13
rxn02003,1.1.1.133
rxn05177,Undetermined
rxn00221,3.1.3.10
rxn01107,3.1.1.17
rxn01108,1.1.1.47
rxn01109,1.1.1.47
rxn01121,4.2.1.39
rxn01476,3.1.1.31
rxn00539,4.3.1.7
rxn05551,TC-2.A.3.5
rxn05322,1.3.1.9
rxn05323,1.3.1.9
rxn05324,1.3.1.9
rxn05325,1.3.1.9
rxn05326,1.3.1.9
rxn05327,1.3.1.9
rxn05328,1.3.1.9
rxn05329,4.2.1.58
rxn05330,2.3.1.85
rxn05331,2.3.1.85
rxn05332,2.3.1.85
rxn05333,2.3.1.85
rxn05334,2.3.1.85
rxn05335,2.3.1.85
rxn05336,1.1.1.100
rxn05337,1.1.1.100
rxn05338,1.1.1.100
rxn05339,1.1.1.100
rxn05340,1.1.1.100
rxn05341,1.1.1.100
rxn05342,1.1.1.100
rxn05343,2.3.1.41
rxn05344,2.3.1.41
rxn05345,2.3.1.41
rxn05346,2.3.1.41
rxn05347,2.3.1.41
rxn05348,2.3.1.41
rxn05349,2.3.1.38
